entry_time,exit_time,ride_preference_1,ride_preference_2,ride_preference_3
12,18,Merry Go Round,Flying Coaster,Flying Coaster
13,18,Flying Coaster,Flying Coaster,Go-Karts
13,18,Flying Coaster,Flying Coaster,Flying Coaster
10,18,Flying Coaster,Inverted Coaster,Go-Karts
11,16,Bungee Jump,Spiral Slide,Circus Train
14,18,Haunted House,Flying Coaster,Merry Go Round
14,18,Flying Coaster,Water Ride,Flying Coaster
11,18,Spinning Coaster,Inverted Coaster,Rapids Ride
14,18,Giga Coaster,Swing Ride,Spiral Slide
10,15,Circus Train,Bumper Cars,Giant Wheel
11,17,Giga Coaster,Merry Go Round,Go-Karts
10,14,Flying Coaster,Go-Karts,Flying Coaster
11,17,Swing Ride,Giant Wheel,Flying Coaster
13,17,Flying Coaster,Go-Karts,Flying Coaster
14,18,Merry Go Round,Flying Coaster,Bungee Jump
12,16,Go-Karts,Giant Wheel,Roller Coaster
11,18,Merry Go Round,Go-Karts,Haunted House
13,17,Flying Coaster,Merry Go Round,Flying Coaster
10,16,Haunted House,Merry Go Round,Go-Karts
10,14,Merry Go Round,Zipline,Go-Karts
12,18,Merry Go Round,Go-Karts,Flying Coaster
14,18,Spinning Coaster,Rapids Ride,Spinning Coaster
13,18,Rapids Ride,Merry Go Round,Merry Go Round
14,18,Spinning Coaster,Bumper Cars,Circus Train
14,18,Bungee Jump,Dizzy Dropper,Giant Wheel
11,16,Flying Coaster,Merry Go Round,Bungee Jump
12,18,Merry Go Round,Merry Go Round,Giant Wheel
14,18,Merry Go Round,Merry Go Round,Go-Karts
14,18,Spinning Coaster,Flying Coaster,Free Fall
11,15,Flying Coaster,Crazy Dance,Dizzy Dropper
12,18,Swing Ride,Merry Go Round,Spinning Coaster
12,18,Merry Go Round,Haunted House,Flying Coaster
10,17,Go-Karts,Oz Theatre,Spinning Coaster
10,15,Flying Coaster,Giant Wheel,Zipline
13,17,Oz Theatre,Giga Coaster,Giga Coaster
13,18,Flying Coaster,Drop Tower,Merry Go Round
13,17,Himalaya Ride,Roller Coaster,Merry Go Round
13,17,Merry Go Round,Go-Karts,Inverted Coaster
11,17,Flying Coaster,Flying Coaster,Go-Karts
13,17,Bungee Jump,Go-Karts,Merry Go Round
10,14,Go-Karts,Swing Ride,Go-Karts
13,17,Merry Go Round,Circus Train,Go-Karts
13,17,Flying Coaster,Giga Coaster,Flying Coaster
12,16,Oz Theatre,Flying Coaster,Himalaya Ride
10,18,Bumper Cars,Giant Wheel,Merry Go Round
11,17,Bungee Jump,Merry Go Round,Merry Go Round
13,17,Kiddie Coaster,Kiddie Coaster,Flying Coaster
13,18,Haunted House,Bungee Jump,Flying Coaster
10,18,Kiddie Coaster,Drop Tower,Spiral Slide
10,16,Flying Coaster,Merry Go Round,Dizzy Dropper
14,18,Rapids Ride,Flying Coaster,Bumper Cars
14,18,Giga Coaster,Giant Wheel,Flying Coaster
11,17,Merry Go Round,Flying Coaster,Go-Karts
11,17,Go-Karts,Flying Coaster,Circus Train
10,16,Merry Go Round,Bungee Jump,Merry Go Round
11,18,Swing Ride,Go-Karts,Flying Coaster
13,17,Kiddie Coaster,Flying Coaster,Haunted House
11,17,Flying Coaster,Merry Go Round,Oz Theatre
13,18,Flying Coaster,Rapids Ride,Giant Wheel
14,18,Circus Train,Merry Go Round,Go-Karts
10,18,Bumper Cars,Merry Go Round,Merry Go Round
11,18,Spinning Coaster,Go-Karts,Water Ride
11,17,Flying Coaster,Flying Coaster,Merry Go Round
12,17,Flying Coaster,Bungee Jump,Rapids Ride
14,18,Oz Theatre,Superman Ride,Flying Coaster
12,16,Flying Coaster,Dizzy Dropper,Merry Go Round
11,15,Flying Coaster,Free Fall,Spinning Coaster
13,17,Merry Go Round,Zipline,Giant Wheel
11,16,Spinning Coaster,Go-Karts,Bungee Jump
13,18,Flying Coaster,Inverted Coaster,Flying Coaster
11,16,Kiddie Coaster,Rapids Ride,Flying Coaster
11,16,Spinning Coaster,Flying Coaster,Superman Ride
13,18,Spinning Coaster,Flying Coaster,Oz Theatre
13,18,Spinning Coaster,Merry Go Round,Bumper Cars
14,18,Circus Train,Go-Karts,Merry Go Round
13,17,Rapids Ride,Merry Go Round,Drop Tower
13,18,Bungee Jump,Merry Go Round,Bungee Jump
10,18,Rapids Ride,Haunted House,Rapids Ride
10,17,Flying Coaster,Merry Go Round,Drop Tower
12,17,Merry Go Round,Giga Coaster,Spinning Coaster
10,17,Go-Karts,Flying Coaster,Inverted Coaster
13,18,Flying Coaster,Circus Train,Haunted House
14,18,Oz Theatre,Bumper Cars,Flying Coaster
11,16,Spinning Coaster,Merry Go Round,Himalaya Ride
12,16,Flying Coaster,Giga Coaster,Spinning Coaster
14,18,Merry Go Round,Go-Karts,Flying Coaster
11,15,Haunted House,Merry Go Round,Superman Ride
13,17,Circus Train,Water Ride,Flying Coaster
12,16,Flying Coaster,Merry Go Round,Water Ride
14,18,Flying Coaster,Kiddie Coaster,Go-Karts
10,16,Merry Go Round,Giant Wheel,Merry Go Round
13,18,Superman Ride,Dizzy Dropper,Go-Karts
13,18,Water Ride,Drop Tower,Inverted Coaster
10,18,Giant Wheel,Dizzy Dropper,Flying Coaster
13,18,Merry Go Round,Giant Wheel,Go-Karts
10,18,Himalaya Ride,Spinning Coaster,Flying Coaster
14,18,Flying Coaster,Circus Train,Merry Go Round
13,17,Giant Wheel,Flying Coaster,Go-Karts
13,17,Spiral Slide,Flying Coaster,Flying Coaster
11,18,Flying Coaster,Merry Go Round,Merry Go Round
10,16,Merry Go Round,Spinning Coaster,Spinning Coaster
13,17,Bungee Jump,Flying Coaster,Inverted Coaster
13,17,Merry Go Round,Bungee Jump,Bungee Jump
14,18,Roller Coaster,Go-Karts,Flying Coaster
12,18,Flying Coaster,Flying Coaster,Flying Coaster
11,15,Bumper Cars,Merry Go Round,Bungee Jump
13,18,Flying Coaster,Bumper Cars,Merry Go Round
13,18,Kiddie Coaster,Flying Coaster,Superman Ride
12,17,Flying Coaster,Giant Wheel,Dizzy Dropper
12,17,Merry Go Round,Haunted House,Merry Go Round
14,18,Flying Coaster,Flying Coaster,Oz Theatre
14,18,Bumper Cars,Flying Coaster,Merry Go Round
14,18,Go-Karts,Flying Coaster,Circus Train
10,17,Drop Tower,Merry Go Round,Flying Coaster
10,15,Go-Karts,Flying Coaster,Flying Coaster
13,17,Flying Coaster,Flying Coaster,Go-Karts
10,18,Free Fall,Bungee Jump,Flying Coaster
13,18,Merry Go Round,Oz Theatre,Merry Go Round
12,17,Free Fall,Kiddie Coaster,Flying Coaster
14,18,Merry Go Round,Crazy Dance,Circus Train
10,18,Merry Go Round,Dizzy Dropper,Merry Go Round
14,18,Spinning Coaster,Flying Coaster,Flying Coaster
10,16,Kiddie Coaster,Merry Go Round,Flying Coaster
12,18,Swing Ride,Flying Coaster,Bungee Jump
10,16,Spinning Coaster,Flying Coaster,Water Ride
13,17,Merry Go Round,Circus Train,Himalaya Ride
11,16,Flying Coaster,Flying Coaster,Merry Go Round
11,16,Giant Wheel,Merry Go Round,Roller Coaster
11,16,Giant Wheel,Merry Go Round,Merry Go Round
13,18,Go-Karts,Go-Karts,Flying Coaster
12,16,Merry Go Round,Spinning Coaster,Oz Theatre
14,18,Flying Coaster,Free Fall,Giant Wheel
11,18,Go-Karts,Flying Coaster,Kiddie Coaster
13,18,Bungee Jump,Bungee Jump,Drop Tower
13,17,Kiddie Coaster,Flying Coaster,Merry Go Round
14,18,Flying Coaster,Merry Go Round,Circus Train
10,15,Flying Coaster,Kiddie Coaster,Go-Karts
10,17,Flying Coaster,Flying Coaster,Go-Karts
11,18,Flying Coaster,Flying Coaster,Giga Coaster
11,15,Circus Train,Merry Go Round,Merry Go Round
11,15,Flying Coaster,Himalaya Ride,Merry Go Round
13,17,Rapids Ride,Flying Coaster,Superman Ride
10,14,Giant Wheel,Flying Coaster,Giant Wheel
13,17,Giant Wheel,Haunted House,Roller Coaster
13,17,Flying Coaster,Flying Coaster,Water Ride
14,18,Flying Coaster,Flying Coaster,Giga Coaster
14,18,Swing Ride,Flying Coaster,Rapids Ride
14,18,Bumper Cars,Flying Coaster,Dizzy Dropper
11,18,Rapids Ride,Spinning Coaster,Go-Karts
12,18,Merry Go Round,Merry Go Round,Drop Tower
14,18,Merry Go Round,Haunted House,Spinning Coaster
12,16,Bumper Cars,Circus Train,Superman Ride
13,18,Zipline,Circus Train,Flying Coaster
13,17,Flying Coaster,Merry Go Round,Flying Coaster
12,18,Kiddie Coaster,Circus Train,Spinning Coaster
12,18,Go-Karts,Merry Go Round,Inverted Coaster
13,17,Giant Wheel,Flying Coaster,Bumper Cars
14,18,Merry Go Round,Kiddie Coaster,Merry Go Round
11,15,Inverted Coaster,Go-Karts,Merry Go Round
13,17,Drop Tower,Go-Karts,Merry Go Round
12,18,Bungee Jump,Giga Coaster,Bungee Jump
10,16,Go-Karts,Free Fall,Zipline
10,14,Flying Coaster,Go-Karts,Flying Coaster
14,18,Spiral Slide,Oz Theatre,Merry Go Round
11,15,Circus Train,Merry Go Round,Zipline
14,18,Merry Go Round,Drop Tower,Flying Coaster
11,15,Swing Ride,Circus Train,Spinning Coaster
11,18,Flying Coaster,Go-Karts,Go-Karts
11,17,Bungee Jump,Bungee Jump,Flying Coaster
12,18,Himalaya Ride,Haunted House,Inverted Coaster
11,16,Rapids Ride,Drop Tower,Merry Go Round
10,18,Flying Coaster,Flying Coaster,Flying Coaster
11,17,Spinning Coaster,Bungee Jump,Merry Go Round
14,18,Circus Train,Circus Train,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Merry Go Round
11,15,Merry Go Round,Flying Coaster,Haunted House
10,16,Merry Go Round,Flying Coaster,Drop Tower
14,18,Flying Coaster,Flying Coaster,Merry Go Round
13,17,Kiddie Coaster,Merry Go Round,Spinning Coaster
13,17,Circus Train,Kiddie Coaster,Merry Go Round
14,18,Flying Coaster,Circus Train,Rapids Ride
13,17,Merry Go Round,Flying Coaster,Zipline
13,17,Spinning Coaster,Go-Karts,Crazy Dance
14,18,Swing Ride,Circus Train,Bumper Cars
13,17,Circus Train,Giant Wheel,Bumper Cars
12,18,Flying Coaster,Water Ride,Flying Coaster
14,18,Bungee Jump,Giga Coaster,Inverted Coaster
11,15,Giant Wheel,Bumper Cars,Spiral Slide
10,17,Giant Wheel,Haunted House,Spinning Coaster
11,16,Flying Coaster,Merry Go Round,Flying Coaster
14,18,Flying Coaster,Spinning Coaster,Flying Coaster
14,18,Flying Coaster,Free Fall,Merry Go Round
11,17,Go-Karts,Giant Wheel,Merry Go Round
14,18,Flying Coaster,Flying Coaster,Merry Go Round
11,15,Crazy Dance,Merry Go Round,Merry Go Round
12,16,Kiddie Coaster,Go-Karts,Flying Coaster
13,18,Himalaya Ride,Go-Karts,Flying Coaster
12,18,Merry Go Round,Go-Karts,Inverted Coaster
11,15,Inverted Coaster,Spinning Coaster,Flying Coaster
11,15,Superman Ride,Merry Go Round,Haunted House
14,18,Merry Go Round,Drop Tower,Merry Go Round
12,17,Dizzy Dropper,Spiral Slide,Go-Karts
10,16,Go-Karts,Kiddie Coaster,Drop Tower
13,18,Spinning Coaster,Oz Theatre,Giant Wheel
10,14,Flying Coaster,Flying Coaster,Merry Go Round
11,18,Flying Coaster,Circus Train,Flying Coaster
10,16,Go-Karts,Merry Go Round,Circus Train
14,18,Merry Go Round,Kiddie Coaster,Roller Coaster
13,17,Flying Coaster,Go-Karts,Swing Ride
14,18,Haunted House,Merry Go Round,Rapids Ride
11,16,Bungee Jump,Go-Karts,Go-Karts
11,18,Oz Theatre,Dizzy Dropper,Flying Coaster
12,16,Flying Coaster,Go-Karts,Giant Wheel
11,17,Circus Train,Dizzy Dropper,Merry Go Round
10,17,Giga Coaster,Go-Karts,Haunted House
12,16,Flying Coaster,Dizzy Dropper,Drop Tower
12,16,Inverted Coaster,Flying Coaster,Spinning Coaster
14,18,Spinning Coaster,Water Ride,Flying Coaster
14,18,Giant Wheel,Inverted Coaster,Drop Tower
10,14,Giant Wheel,Haunted House,Merry Go Round
12,16,Flying Coaster,Flying Coaster,Go-Karts
13,18,Oz Theatre,Giant Wheel,Flying Coaster
10,14,Circus Train,Superman Ride,Spinning Coaster
13,18,Flying Coaster,Giant Wheel,Free Fall
13,17,Flying Coaster,Flying Coaster,Flying Coaster
12,16,Flying Coaster,Superman Ride,Merry Go Round
11,16,Go-Karts,Go-Karts,Merry Go Round
11,17,Superman Ride,Spinning Coaster,Flying Coaster
11,15,Flying Coaster,Drop Tower,Bumper Cars
13,18,Merry Go Round,Flying Coaster,Spinning Coaster
14,18,Inverted Coaster,Merry Go Round,Flying Coaster
12,16,Go-Karts,Flying Coaster,Spinning Coaster
12,18,Dizzy Dropper,Go-Karts,Bungee Jump
14,18,Rapids Ride,Water Ride,Drop Tower
10,14,Flying Coaster,Spinning Coaster,Flying Coaster
10,14,Merry Go Round,Inverted Coaster,Circus Train
13,18,Flying Coaster,Dizzy Dropper,Flying Coaster
14,18,Merry Go Round,Flying Coaster,Giant Wheel
11,15,Flying Coaster,Flying Coaster,Kiddie Coaster
12,18,Giant Wheel,Kiddie Coaster,Drop Tower
10,17,Merry Go Round,Oz Theatre,Himalaya Ride
12,17,Flying Coaster,Water Ride,Merry Go Round
13,17,Merry Go Round,Flying Coaster,Flying Coaster
14,18,Water Ride,Giga Coaster,Circus Train
12,16,Merry Go Round,Merry Go Round,Drop Tower
13,18,Bungee Jump,Bungee Jump,Merry Go Round
10,14,Kiddie Coaster,Merry Go Round,Go-Karts
11,15,Flying Coaster,Flying Coaster,Bumper Cars
10,15,Drop Tower,Go-Karts,Flying Coaster
11,17,Flying Coaster,Flying Coaster,Bungee Jump
11,16,Superman Ride,Go-Karts,Giant Wheel
13,18,Drop Tower,Flying Coaster,Water Ride
14,18,Flying Coaster,Giant Wheel,Flying Coaster
10,14,Bungee Jump,Merry Go Round,Water Ride
14,18,Swing Ride,Kiddie Coaster,Roller Coaster
13,18,Bungee Jump,Swing Ride,Giant Wheel
11,15,Water Ride,Merry Go Round,Dizzy Dropper
12,16,Spinning Coaster,Flying Coaster,Flying Coaster
13,18,Spinning Coaster,Flying Coaster,Flying Coaster
10,16,Flying Coaster,Flying Coaster,Flying Coaster
12,17,Circus Train,Flying Coaster,Water Ride
14,18,Swing Ride,Merry Go Round,Flying Coaster
11,17,Oz Theatre,Swing Ride,Haunted House
13,18,Merry Go Round,Go-Karts,Rapids Ride
11,15,Circus Train,Circus Train,Crazy Dance
14,18,Flying Coaster,Go-Karts,Flying Coaster
14,18,Go-Karts,Flying Coaster,Flying Coaster
13,18,Go-Karts,Flying Coaster,Flying Coaster
10,14,Spinning Coaster,Flying Coaster,Merry Go Round
12,18,Inverted Coaster,Circus Train,Giant Wheel
13,17,Flying Coaster,Rapids Ride,Superman Ride
14,18,Flying Coaster,Crazy Dance,Flying Coaster
10,16,Swing Ride,Giant Wheel,Flying Coaster
14,18,Giga Coaster,Water Ride,Giga Coaster
13,17,Spinning Coaster,Merry Go Round,Bumper Cars
12,17,Flying Coaster,Crazy Dance,Swing Ride
10,17,Merry Go Round,Go-Karts,Go-Karts
13,18,Haunted House,Go-Karts,Spinning Coaster
14,18,Flying Coaster,Merry Go Round,Flying Coaster
13,17,Go-Karts,Flying Coaster,Flying Coaster
14,18,Spiral Slide,Crazy Dance,Inverted Coaster
10,15,Roller Coaster,Roller Coaster,Kiddie Coaster
11,17,Go-Karts,Go-Karts,Spinning Coaster
14,18,Merry Go Round,Spinning Coaster,Go-Karts
14,18,Go-Karts,Water Ride,Crazy Dance
13,18,Himalaya Ride,Haunted House,Flying Coaster
14,18,Bumper Cars,Rapids Ride,Haunted House
11,17,Spinning Coaster,Bungee Jump,Drop Tower
13,18,Merry Go Round,Merry Go Round,Flying Coaster
11,16,Flying Coaster,Flying Coaster,Merry Go Round
10,15,Roller Coaster,Go-Karts,Merry Go Round
12,17,Circus Train,Flying Coaster,Circus Train
11,16,Spinning Coaster,Flying Coaster,Merry Go Round
12,18,Dizzy Dropper,Bungee Jump,Merry Go Round
12,17,Free Fall,Himalaya Ride,Flying Coaster
14,18,Merry Go Round,Go-Karts,Flying Coaster
12,17,Haunted House,Rapids Ride,Merry Go Round
12,17,Dizzy Dropper,Drop Tower,Spinning Coaster
10,15,Flying Coaster,Go-Karts,Spinning Coaster
12,16,Flying Coaster,Flying Coaster,Oz Theatre
11,17,Flying Coaster,Drop Tower,Haunted House
11,15,Flying Coaster,Oz Theatre,Flying Coaster
14,18,Swing Ride,Kiddie Coaster,Spinning Coaster
12,16,Bungee Jump,Flying Coaster,Flying Coaster
14,18,Circus Train,Bumper Cars,Giant Wheel
14,18,Flying Coaster,Flying Coaster,Circus Train
13,17,Zipline,Haunted House,Haunted House
10,15,Kiddie Coaster,Swing Ride,Zipline
13,18,Go-Karts,Flying Coaster,Himalaya Ride
14,18,Flying Coaster,Inverted Coaster,Go-Karts
10,16,Superman Ride,Flying Coaster,Spinning Coaster
13,17,Go-Karts,Circus Train,Merry Go Round
10,16,Flying Coaster,Bumper Cars,Zipline
10,18,Flying Coaster,Flying Coaster,Flying Coaster
12,18,Flying Coaster,Zipline,Flying Coaster
10,17,Go-Karts,Drop Tower,Merry Go Round
14,18,Flying Coaster,Giant Wheel,Flying Coaster
14,18,Giant Wheel,Bungee Jump,Merry Go Round
13,17,Kiddie Coaster,Go-Karts,Water Ride
12,18,Drop Tower,Inverted Coaster,Merry Go Round
13,18,Go-Karts,Flying Coaster,Go-Karts
13,18,Kiddie Coaster,Go-Karts,Drop Tower
13,18,Rapids Ride,Flying Coaster,Crazy Dance
14,18,Flying Coaster,Flying Coaster,Flying Coaster
11,17,Spinning Coaster,Merry Go Round,Giant Wheel
13,18,Flying Coaster,Go-Karts,Circus Train
12,16,Flying Coaster,Inverted Coaster,Flying Coaster
13,18,Spinning Coaster,Flying Coaster,Spinning Coaster
11,18,Rapids Ride,Go-Karts,Superman Ride
12,18,Water Ride,Giga Coaster,Flying Coaster
14,18,Flying Coaster,Flying Coaster,Flying Coaster
10,14,Flying Coaster,Water Ride,Dizzy Dropper
10,16,Flying Coaster,Flying Coaster,Merry Go Round
12,17,Merry Go Round,Flying Coaster,Bumper Cars
12,18,Merry Go Round,Flying Coaster,Flying Coaster
10,14,Merry Go Round,Zipline,Kiddie Coaster
13,17,Spinning Coaster,Merry Go Round,Spinning Coaster
10,15,Flying Coaster,Flying Coaster,Flying Coaster
14,18,Spinning Coaster,Free Fall,Flying Coaster
12,16,Inverted Coaster,Flying Coaster,Zipline
14,18,Flying Coaster,Flying Coaster,Flying Coaster
12,18,Bungee Jump,Bumper Cars,Circus Train
14,18,Roller Coaster,Flying Coaster,Flying Coaster
12,17,Inverted Coaster,Zipline,Go-Karts
11,16,Flying Coaster,Flying Coaster,Go-Karts
12,17,Merry Go Round,Swing Ride,Kiddie Coaster
11,15,Merry Go Round,Haunted House,Spinning Coaster
13,18,Flying Coaster,Spiral Slide,Merry Go Round
12,17,Kiddie Coaster,Zipline,Roller Coaster
10,15,Spiral Slide,Flying Coaster,Kiddie Coaster
11,16,Kiddie Coaster,Go-Karts,Roller Coaster
13,18,Himalaya Ride,Giant Wheel,Giant Wheel
13,17,Spinning Coaster,Flying Coaster,Merry Go Round
13,17,Merry Go Round,Merry Go Round,Superman Ride
10,17,Flying Coaster,Merry Go Round,Bumper Cars
12,16,Giant Wheel,Rapids Ride,Kiddie Coaster
14,18,Flying Coaster,Go-Karts,Go-Karts
10,18,Bumper Cars,Merry Go Round,Bungee Jump
11,18,Go-Karts,Haunted House,Circus Train
10,18,Zipline,Flying Coaster,Kiddie Coaster
14,18,Flying Coaster,Flying Coaster,Flying Coaster
10,16,Oz Theatre,Flying Coaster,Giant Wheel
11,15,Roller Coaster,Merry Go Round,Superman Ride
11,17,Merry Go Round,Giant Wheel,Bumper Cars
10,15,Go-Karts,Merry Go Round,Flying Coaster
12,16,Bungee Jump,Flying Coaster,Merry Go Round
12,18,Flying Coaster,Flying Coaster,Oz Theatre
11,17,Flying Coaster,Bungee Jump,Giant Wheel
12,16,Giant Wheel,Kiddie Coaster,Crazy Dance
10,16,Merry Go Round,Drop Tower,Go-Karts
10,16,Flying Coaster,Oz Theatre,Giant Wheel
13,18,Giga Coaster,Spinning Coaster,Flying Coaster
11,17,Flying Coaster,Spinning Coaster,Flying Coaster
14,18,Kiddie Coaster,Circus Train,Giant Wheel
13,17,Merry Go Round,Free Fall,Merry Go Round
10,14,Spiral Slide,Go-Karts,Giant Wheel
10,14,Flying Coaster,Inverted Coaster,Rapids Ride
